resource_name,resource_type,location,owner,environment,cost_center,created_date,last_modified_date,tags,subscription_id,resource_group_name,resource_id,sku,status,provisioning_state,managed_by,monthly_cost,compliance_status,backup_enabled,monitoring_enabled,security_group,public_ip_enabled,encryption_status,identity_type,migration_wave,migration_status,on_premises_server,dependencies
sa-dev-purpose-251,Microsoft.Storage/storageAccounts,East US,Lisa,dev,CC001,2025-01-19,2025-05-04,"owner=Lisa,env=dev,cost_center=CC001,backup=required",c3d4e5f6-g7h8-9012-cdef-123456789012,Lisa-dev-rg,/subscriptions/c3d4e5f6-g7h8-9012-cdef-123456789012/resourceGroups/Lisa-dev-rg/providers/Microsoft.Storage/storageAccounts/sa-dev-purpose-251,Standard_LRS,Running,Succeeded,,29.68,NonCompliant,disabled,true,nsg-dev-9,1,Disabled,system-assigned,wave1,Complete,SPNF-BEGIN-007,res-performance-715
robinsonplc-sql-95,Microsoft.Sql/servers,eastus,Milhouse,staging,CC003,2023-07-14,2024-09-21,Environment:staging;Owner:Milhouse;Project:Migration,b2c3d4e5-f6g7-8901-bcde-f12345678901,springfield-staging-resources,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/springfield-staging-resources/providers/Microsoft.Sql/servers/robinsonplc-sql-95,Premium,Running,succeeded,,2214.48,UNKNOWN,false,enabled,nsg-staging-10,no,,UserAssigned,WAVE 2,NotStarted,,
springfield-sa-rate-staging,Microsoft.Storage/storageAccounts,westus,Ned,staging,CC003,2025-04-29,2025-04-29,"Environment=staging,Owner=Ned,CostCenter=CC003",b2c3d4e5-f6g7-8901-bcde-f12345678901,RG-STAGING-NED,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/RG-STAGING-NED/providers/Microsoft.Storage/storageAccounts/springfield-sa-rate-staging,Premium_LRS,STOPPED,Succeeded,,127.69,Non-Compliant,enabled,False,,1,enabled,UserAssigned,WAVE 2,Complete,SPNF-SONG-795,
springfield-vnet-save-prod,Microsoft.Network/virtualNetworks,Springfield,Homer,prod,,2024-03-11,2024-05-29,"Environment=prod,Owner=Homer,CostCenter=",b2c3d4e5-f6g7-8901-bcde-f12345678901,Homer-prod-rg,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/Homer-prod-rg/providers/Microsoft.Network/virtualNetworks/springfield-vnet-save-prod,Basic,Updating,Failed,,47.08,Non-Compliant,enabled,enabled,nsg-prod-10,1,,system-assigned,Wave 3,InProgress,SPNF-BEST-142,
vm-prod-husband-164,Microsoft.Compute/virtualMachines,east-us,Homer,prod,nuclear-ops,2024-06-14,2025-01-08,"env=prod,owner=homer,department=nuclear",c3d4e5f6-g7h8-9012-cdef-123456789012,Homer-prod-rg,/subscriptions/c3d4e5f6-g7h8-9012-cdef-123456789012/resourceGroups/Homer-prod-rg/providers/Microsoft.Compute/virtualMachines/vm-prod-husband-164,STANDARD_D2S_V3,running,Succeeded,,1052.4,Compliant,enabled,yes,nsg-prod-6,false,enabled,system-assigned,Wave 2,Failed,,"res-capital-270,res-win-996,res-human-513"
saqaold65,Microsoft.Storage/storageAccounts,westus,Marge,qa,CC003,2023-08-17,2023-09-21,"env=qa,owner=marge,department=nuclear",a1b2c3d4-e5f6-7890-abcd-ef1234567890,springfield-qa-resources,/subscriptions/a1b2c3d4-e5f6-7890-abcd-ef1234567890/resourceGroups/springfield-qa-resources/providers/Microsoft.Storage/storageAccounts/saqaold65,Standard_LRS,running,InProgress,,53.97,Compliant,no,yes,nsg-qa-4,disabled,Enabled,SystemAssigned,WAVE 2,Failed,SPNF-RECENTLY-779,
kvdevelopmentspring78,Microsoft.KeyVault/vaults,East US,Homer,development,,2024-01-25,2025-01-11,,c3d4e5f6-g7h8-9012-cdef-123456789012,RG-DEVELOPMENT-HOMER,/subscriptions/c3d4e5f6-g7h8-9012-cdef-123456789012/resourceGroups/RG-DEVELOPMENT-HOMER/providers/Microsoft.KeyVault/vaults/kvdevelopmentspring78,Basic,Failed,succeeded,,29.88,N/A,no,0,nsg-development-8,false,Disabled,UserAssigned,Wave 1,Complete,,
app-dev-prove-647,Microsoft.Web/sites,uksouth,Homer,dev,CC003,2024-01-17,2025-06-03,"Environment=dev,Owner=Homer,CostCenter=CC003",a1b2c3d4-e5f6-7890-abcd-ef1234567890,springfield-dev-resources,/subscriptions/a1b2c3d4-e5f6-7890-abcd-ef1234567890/resourceGroups/springfield-dev-resources/providers/Microsoft.Web/sites/app-dev-prove-647,Standard,Failed,succeeded,,58.56,Non-Compliant,disabled,disabled,nsg-dev-8,1,Disabled,SystemAssigned,Wave 1,IN PROGRESS,SPNF-AWAY-434,
sadevprove14,Microsoft.Storage/storageAccounts,Springfield,Marge,dev,NUCLEAR_OPS,2024-11-02,2025-06-06,"owner=Marge,env=dev,cost_center=NUCLEAR_OPS,backup=required",b2c3d4e5-f6g7-8901-bcde-f12345678901,RG-DEV-MARGE,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/RG-DEV-MARGE/providers/Microsoft.Storage/storageAccounts/sadevprove14,standard_lrs,Stopped,InProgress,,51.64,,false,0,nsg-dev-9,false,Enabled,SystemAssigned,Wave 1,completed,SPNF-DISCUSS-171,
perezinc-lb-272,Microsoft.Network/loadBalancers,Shelbyville,Homer,dev,nuclear-ops,2024-02-24,2024-12-31,,c3d4e5f6-g7h8-9012-cdef-123456789012,springfield-dev-resources,/subscriptions/c3d4e5f6-g7h8-9012-cdef-123456789012/resourceGroups/springfield-dev-resources/providers/Microsoft.Network/loadBalancers/perezinc-lb-272,Basic,STOPPED,succeeded,,67.57,compliant,False,true,nsg-dev-9,true,enabled,SystemAssigned,Wave 1,not started,SPNF-EXECUTIVE-942,res-attorney-59
